PARTICIPANT,ITEM,FCTASG,FCFTAGR,EPT,GROUP,Frequent,number,LIKERT,MINT
L2SPAN029,cancion ,1,1,1,L2SPANISH,f,s,9,13
L2SPAN029,respiracion,1,1,0,L2SPANISH,nf,s,2,13
L2SPAN029,hermandad,1,1,1,L2SPANISH,nf,s,1,13
L2SPAN029,inundaciones,0,0,0,L2SPANISH,nf,p,1,13
L2SPAN029,respiraciones,1,1,1,L2SPANISH,nf,p,2,13
L2SPAN029,habitaciones,0,0,0,L2SPANISH,f,p,5,13
L2SPAN029,soledades,1,0,0,L2SPANISH,nf,p,1,13
L2SPAN029,habitacion,0,1,0,L2SPANISH,f,s,5,13
L2SPAN029,oraciones,1,1,1,L2SPANISH,f,p,6,13
L2SPAN029,soledad,0,0,0,L2SPANISH,nf,s,1,13
L2SPAN029,ciudades,1,1,1,L2SPANISH,f,p,5,13
L2SPAN029,inundacion,0,0,0,L2SPANISH,nf,s,1,13
L2SPAN029,canciones,1,1,1,L2SPANISH,f,p,8,13
L2SPAN030,ciudad,1,1,0,L2SPANISH,f,s,6,16
L2SPAN030,hermandades,1,1,1,L2SPANISH,nf,p,1,16
L2SPAN030,oracion,1,1,1,L2SPANISH,f,s,8,16
L2SPAN030,cancion ,1,1,0,L2SPANISH,f,s,6,16
L2SPAN030,respiracion,1,1,0,L2SPANISH,nf,s,1,16
L2SPAN030,hermandad,1,1,1,L2SPANISH,nf,s,1,16
L2SPAN030,inundaciones,1,1,1,L2SPANISH,nf,p,1,16
L2SPAN030,respiraciones,1,1,1,L2SPANISH,nf,p,1,16
L2SPAN030,habitaciones,1,1,0,L2SPANISH,f,p,3,16
L2SPAN030,soledades,1,1,0,L2SPANISH,nf,p,1,16
L2SPAN030,habitacion,1,1,0,L2SPANISH,f,s,8,16
L2SPAN030,oraciones,1,1,1,L2SPANISH,f,p,7,16
L2SPAN030,soledad,1,1,0,L2SPANISH,nf,s,1,16
L2SPAN030,ciudades,1,1,0,L2SPANISH,f,p,5,16
L2SPAN030,inundacion,1,1,0,L2SPANISH,nf,s,1,16
L2SPAN030,canciones,1,1,1,L2SPANISH,f,p,5,16
L2SPAN032,ciudad,1,1,1,L2SPANISH,f,s,4,20
L2SPAN032,hermandades,1,1,0,L2SPANISH,nf,p,1,20
L2SPAN032,oracion,0,0,0,L2SPANISH,f,s,5,20
L2SPAN032,cancion ,1,0,0,L2SPANISH,f,s,5,20
L2SPAN032,respiracion,0,1,0,L2SPANISH,nf,s,2,20
L2SPAN032,hermandad,1,1,0,L2SPANISH,nf,s,1,20
L2SPAN032,inundaciones,1,`,0,L2SPANISH,nf,p,2,20
L2SPAN032,respiraciones,0,0,1,L2SPANISH,nf,p,2,20
L2SPAN032,habitaciones,0,0,0,L2SPANISH,f,p,4,20
L2SPAN032,soledades,1,0,0,L2SPANISH,nf,p,1,20
L2SPAN032,habitacion,0,1,0,L2SPANISH,f,s,5,20
L2SPAN032,oraciones,0,1,0,L2SPANISH,f,p,6,20
L2SPAN032,soledad,0,0,0,L2SPANISH,nf,s,1,20
L2SPAN032,ciudades,0,0,1,L2SPANISH,f,p,5,20
L2SPAN032,inundacion,1,0,0,L2SPANISH,nf,s,1,20
L2SPAN032,canciones,0,0,0,L2SPANISH,f,p,6,20
L2SPAN036,ciudad,1,0,1,L2SPANISH,f,s,5,13
L2SPAN036,hermandades,0,0,0,L2SPANISH,nf,p,2,13
L2SPAN036,oracion,0,0,0,L2SPANISH,f,s,3,13
L2SPAN036,cancion ,0,0,1,L2SPANISH,f,s,3,13
